"","CCA1","CCA2"
"Sitio01",0.600246091855919,-1.32574755641273
"Sitio02",0.518284125239633,-0.684846351401118
"Sitio03",0.611319713062801,-1.33539383921556
"Sitio04",0.198676649658055,1.68137236492008
"Sitio05",0.690447719095065,0.463588494868564
"Sitio06",0.330976631424217,0.285121814746932
"Sitio07",0.142795681862684,-1.5596413682568
"Sitio08",0.265207868640736,-1.64513111958726
"Sitio09",-0.0648982644147099,-1.28061990902518
"Sitio10",-1.53555355313588,-0.110759597274945
"Sitio11",-1.41131952187071,-0.661429360501706
"Sitio12",-1.98860405121192,-0.123278759378792
"Sitio13",-2.83853344447484,0.332518137336525
"Sitio14",-3.41390078665953,0.422684795869917
"Sitio15",-3.13401483800289,0.464759987448777
"Sitio16",0.573812866565306,0.659524724771116
"Sitio17",0.972768554079032,1.49302866090848
"Sitio18",0.522053801473097,0.589512744396722
"Sitio19",0.561941005931177,0.541097758335292
"Sitio20",0.821662111048782,0.180762027591145
"Sitio21",0.396115559780763,0.228095186106723
"Sitio22",0.694790339203106,2.14502732852564
"Sitio23",0.376621536297206,2.20477323951442
"Sitio24",0.384289098341461,0.566965640603728
"Sitio25",0.50675571650378,-1.51307125162569
"Sitio26",0.845122067523456,-1.33964604690821
"Sitio27",0.392212106083638,0.280891624703468
"Sitio28",-0.887752915327251,-0.539253024096944
"Sitio29",-0.702936592305736,-0.860167937058296
